output 1	output 2	output 3	output 4	output 5	predicted	target
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	0
0	0	0	0	0	Negative	1
1	1	1	1	1	Positive	1
0	0	0	1	0	Negative	0
1	1	1	1	1	Positive	1
0	0	0	1	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	0
0	0	0	0	1	Negative	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	0	1	1	1	Positive	0
1	0	1	0	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	0	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	0	0	1	1	Positive	0
1	1	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	0	1	1	Positive	1
0	0	1	1	1	Positive	0
0	0	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	0	1	Positive	1
1	1	1	1	1	Positive	0
0	1	1	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	0	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	1	0	1	Negative	1
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	0	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	1	0	0	1	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	0	0	1	Negative	0
1	1	1	1	1	Positive	1
0	1	1	0	0	Negative	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	0	0	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	0
1	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	1	0	1	Negative	0
1	1	1	1	1	Positive	1
0	0	1	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	1	1	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	0	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
0	0	0	0	0	Negative	0
0	0	0	0	0	Negative	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	0	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
0	0	0	0	0	Negative	1
0	0	0	0	0	Negative	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
0	0	0	1	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
0	0	0	0	1	Negative	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
1	0	1	1	1	Positive	0
1	1	0	0	1	Positive	0
1	1	0	0	1	Positive	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	0
0	0	0	0	0	Negative	0
1	1	1	1	1	Positive	1
1	1	1	1	1	Positive	1
1	1	0	0	0	Negative	0
